Name,RegNr,Beschäftigte,Betrag,GeschäftsjahrStart,GeschäftsjahrEnde,Interessen,Tätigkeit,Ersteintrag,LetzteÄnd
Der Grüne Punkt Holding GmbH & Co. KG,R006263,5,145000,2022-01-01,2022-12-01,"Außenpolitik; Allgemeine Energiepolitik; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; EU-Binnenmarkt; EU- Gesetzgebung; Lebensmittelsicherheit; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Industriepolitik; Verbraucherschutz; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie; Kreislaufwirtschaft",Unternehmen,27.09.2023,09.04.2024
"Der Mittelstand, BVMW e.V. Bundesverband mittelständische",R001657,35,8175000,2021-01-01,2021-12-01,"Arbeitsrecht/Arbeitsbedingungen; Außenpolitik; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Parlamentarisches Verfahren; Sonstiges im Bereich ""Bundestag""; Allgemeine Energiepolitik; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Gesundheitsförderung; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Urheberrecht; Werbung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Ausländer- und Aufenthaltsrecht; Integration; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Wohnen; Zivilrecht; Sonstiges im Bereich ""Recht""; Krankenversicherung; Rente/Alterssicherung; Sonstiges im Bereich ""Soziale Sicherung""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Verkehrspolitik; Bundeswehrangelegenheiten; Sonstiges im Bereich ""Verteidigung""; E-Commerce; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,25.02.2022,25.09.2023
Deutsch-Algerische Industrie- und Handelskammer (AHK Algerien),R002818,25,15000,2022-01-01,2022-12-01,"Internationale Beziehungen; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Berufliche Bildung; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Sonstiges im Bereich ""Recht""; Automobilwirtschaft; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,03.03.2022,25.06.2023
Deutsch-Italienische Handelskammer (AHK Italien),R004039,55,45000,2022-01-01,2022-12-01,"Außenwirtschaft; Berufliche Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Kleine und mittlere Unternehmen",Wirtschaftsverband oder Gewerbeverband/-verein,04.04.2022,03.04.2023
Deutsch-Russische Auslandshandelskammer,R003587,45,45000,2021-01-01,2021-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenpolitik; Auswärtige Kultur- und Bildungspolitik; Internationale Beziehungen; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Berufliche Bildung; Hochschulbildung; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Arzneimittel; Sonstiges im Bereich ""Gesundheit""; Kultur; Fischerei/Aquakultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Ausländer- und Aufenthaltsrecht; Integration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Öffentliches Recht; Rechtspolitik; Zivilrecht; Sonstiges im Bereich ""Recht""; Tourismus; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Sonstiges im Bereich ""Verkehr""; Automobilwirtschaft; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Versicherungswesen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,18.03.2022,–
Deutsch-Türkische Industrie- und Handelskammer,R003975,15,815000,2022-01-01,2022-12-01,"Außenwirtschaft; Berufliche Bildung; Allgemeine Energiepolitik; Erneuerbare Energien; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Immissionsschutz; Klimaschutz; Sonstiges im Bereich ""Umwelt""; Automobilwirtschaft; Bank- und Finanzwesen; Handel und Dienstleistungen; Kleine und mittlere Unternehmen",Wirtschaftsverband oder Gewerbeverband/-verein,01.04.2022,03.07.2023
Deutsche Afrika Stiftung e.V.,R000344,5,575000,2022-01-01,2022-12-01,Außenpolitik; Auswärtige Kultur- und Bildungspolitik; Internationale Beziehungen; Menschenrechte; Entwicklungspolitik,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",08.02.2022,16.02.2023
Deutsche Akademie der Naturforscher Leopoldina e.V. -- Nationale,R004939,25,4135000,2022-01-01,2022-12-01,"Wissenschaft, Forschung und Technologie","Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule (GL2022)",13.07.2022,30.11.2023
Deutsche Akademie der Technikwissenschaften e. V. (acatech),R005708,5,265000,2022-01-01,2022-12-01,"Wissenschaft, Forschung und Technologie","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",14.02.2023,14.02.2024
Deutsche Allianz Meeresforschung,R003918,15,15000,2022-01-01,2022-12-01,"Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Wissenschaft, Forschung und Technologie","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",30.03.2022,01.09.2023
Deutsche Bahn,R001662,45,1945000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Internationale Beziehungen; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU- Binnenmarkt; EU-Gesetzgebung; Diversitätspolitik; Geschlechterpolitik; Rechte von Menschen mit Behinderung; Gesundheitsförderung; Sonstiges im Bereich ""Gesundheit""; Cybersicherheit; Kriminalitätsbekämpfung; Opferschutz; Terrorismusbekämpfung; Sonstiges im Bereich ""Innere Sicherheit""; Land- und Forstwirtschaft; Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Öffentliches Recht; Rechtspolitik; Sonstiges im Bereich ""Recht""; Tourismus; Öffentlicher Dienst und öffentliche Verwaltung; Staatsorganisation; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; E-Commerce; Handel und Dienstleistungen; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Unternehmen,25.02.2022,16.02.2024
Deutsche Bank AG,R001998,45,3285000,2022-01-01,2022-12-01,"Arbeitsrecht/Arbeitsbedingungen; Außenpolitik; Allgemeine Energiepolitik; Erneuerbare Energien; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Wohnen; Rente/Alterssicherung; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Bank- und Finanzwesen; Industriepolitik; Verbraucherschutz",Unternehmen,28.02.2022,19.03.2024
Deutsche Bauchemie,R000871,5,425000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU- Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Sonstiges im Bereich ""Gesundheit""; Bauwesen und Bauwirtschaft; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Verkehrsinfrastruktur; Sonstiges im Bereich ""Verkehr""; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,22.02.2022,21.02.2023
Deutsche Börse AG,R001339,15,535000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Bildung und Erziehung""; Parlamentarisches Verfahren; EU-Binnenmarkt; EU-Gesetzgebung; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Rente/Alterssicherung; Bank- und Finanzwesen; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Unternehmen,24.02.2022,10.07.2023
Deutsche Energie-Agentur GmbH,R003336,65,215000,2022-01-01,2022-12-01,Energienetze; Erneuerbare Energien; Klimaschutz,Unternehmen,11.03.2022,26.03.2024
Deutsche Evangelische Allianz e.V.,R001082,5,125000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Arbeit und Beschäftigung""; Sonstiges im Bereich ""Bildung und Erziehung""; Diversitätspolitik; Familienpolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Religion /Weltanschauung; Seniorenpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Asyl und Flüchtlingsschutz; Integration; Migration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Sonstiges im Bereich ""Recht""; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",23.02.2022,31.07.2023
Deutsche Feuerfest-Industrie e.V.,R002961,1,125000,2023-01-01,2023-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Immissionsschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,04.03.2022,27.03.2024
Deutsche Forschungsgemeinschaft e.V.,R002059,35,715000,2022-01-01,2022-12-01,"Wissenschaft, Forschung und Technologie","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",28.02.2022,29.06.2023
Deutsche Friedensgesellschaft - Vereinigte KriegsdienstgegnerInnen,R001685,35,65000,2022-01-01,2022-12-01,"Außenpolitik; Auswärtige Kultur- und Bildungspolitik; Internationale Beziehungen; Menschenrechte; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Parlamentarisches Verfahren; Gemeinsame Außen- und Sicherheitspolitik der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Bevölkerungsschutz und Katastrophenhilfe; Cybersicherheit; Extremismusbekämpfung; Terrorismusbekämpfung; Meinungs- und Pressefreiheit; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Migration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Politisches Leben, Parteien; Öffentliches Recht; Strafrecht; Öffentlicher Dienst und öffentliche Verwaltung; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Sonstiges im Bereich ""Verteidigung""; Industriepolitik; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",25.02.2022,06.07.2023
Deutsche Gesellschaft für Gesundheitsökonomie e. V.,R004125,5,185000,2022-01-01,2022-12-01,"Wissenschaft, Forschung und Technologie","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",08.04.2022,28.03.2023
Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),R001524,5,155000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Bildung und Erziehung""; Entwicklungspolitik",Unternehmen,25.02.2022,12.04.2024
Deutsche Gesellschaft für Internistische Intensivmedizin und,R000225,1,295000,2023-01-01,2023-12-01,Gesundheitsversorgung; Pflege,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,31.01.2022,26.03.2024
Deutsche Gesellschaft für Klinische Chemie und,R003643,1,35000,2022-01-01,2022-12-01,"Hochschulbildung; EU-Gesetzgebung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""; Wissenschaft, Forschung und Technologie",Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,21.03.2022,23.04.2024
"Deutsche Gesellschaft für Psychiatrie und Psychotherapie,",R002348,5,115000,2022-01-01,2022-12-01,"Hochschulbildung; Rechte von Menschen mit Behinderung; Gesundheitsförderung; Gesundheitsversorgung; Wissenschaft, Forschung und Technologie","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",28.02.2022,17.04.2024
Deutsche Gesellschaft für Sterilgutversorgung DGSV e.V.,R000013,25,95000,2021-01-01,2021-12-01,"Sonstiges im Bereich ""Bildung und Erziehung""; Sonstiges im Bereich ""Gesundheit""","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",07.01.2022,07.06.2023
Deutsche Gesellschaft für die Vereinten Nationen e.V. (DGVN),R001926,1,45000,2023-01-01,2023-12-01,"Außenpolitik; Internationale Beziehungen; Menschenrechte; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Entwicklungspolitik; Kinder- und Jugendpolitik; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Verteidigungspolitik",Nichtregierungsorganisation (NGO),28.02.2022,18.04.2024
Deutsche Glasfaser Management,R002467,5,225000,2022-01-01,2022-12-01,Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Öffentliches Recht; Zivilrecht; Industriepolitik; Verbraucherschutz; Wettbewerbsrecht,Unternehmen,01.03.2022,07.08.2023
Deutsche Hauptstelle für Suchtfragen e.V.,R002345,15,295000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",28.02.2022,20.09.2023
Deutsche Industrieforschungsgemeinschaft Konrad Zuse e. V.,R000107,5,265000,2022-01-01,2022-12-01,"Wissenschaft, Forschung und Technologie","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",20.01.2022,04.07.2023
Deutsche Krankenhausgesellschaft e.V.,R001591,1,2165000,2022-01-01,2022-12-01,"Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""",Privatrechtliche Organisation,25.02.2022,10.04.2024
Deutsche Kreditbank AG,R002953,5,375000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Erneuerbare Energien; EU- Gesetzgebung; Land- und Forstwirtschaft; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Datenschutz und Informationssicherheit; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Rente/Alterssicherung; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Personenverkehr; Verkehrsinfrastruktur; Sonstiges im Bereich ""Verkehr""; Bank- und Finanzwesen; Kleine und mittlere Unternehmen; Verbraucherschutz",Unternehmen,04.03.2022,17.01.2024
Deutsche Landwirtschafts-Gesellschaft e.V.,R004830,35,345000,2022-01-01,2022-12-01,"Berufliche Bildung; Fischerei/Aquakultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Handel und Dienstleistungen; Kleine und mittlere Unternehmen; Verbraucherschutz; Wissenschaft, Forschung und Technologie","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",27.06.2022,13.07.2023
Deutsche Leukämie- & Lymphom Hilfe e.V.,R006506,5,585000,2022-01-01,2022-12-01,Gesundheitsförderung,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",19.02.2024,–
Deutsche Lufthansa Aktiengesellschaft,R001474,75,4495000,2023-01-01,2023-12-01,Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Allgemeine Energiepolitik; Erneuerbare Energien; Fossile Energien; EU-Binnenmarkt; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Bevölkerungsschutz und Katastrophenhilfe; Terrorismusbekämpfung; Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Tourismus; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Bundeswehrangelegenheiten; Verteidigungspolitik; Industriepolitik; Verbraucherschutz; Wettbewerbsrecht,Unternehmen,25.02.2022,23.02.2024
"Deutsche Multiple Sklerose Gesellschaft, Bundesverband e.V.",R004509,15,35000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Politisches Leben, Parteien; Öffentliches Recht; Arbeitslosenversicherung; Grundsicherung; Krankenversicherung; Pflegeversicherung; Rente/Alterssicherung; Unfallversicherung; Sonstiges im Bereich ""Soziale Sicherung""; Breitensport; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Personenverkehr; Schienenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Verbraucherschutz; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",10.05.2022,27.07.2023
Deutsche PalliativStiftung,R004910,5,615000,2022-01-01,2022-12-01,"Gesundheitsförderung; Sonstiges im Bereich ""Gesundheit""","Öffentlich-rechtliche Organisation (z. B. Körperschaften, Anstalten und Stiftungen des öffentlichen Rechts) (GL2022)",08.07.2022,19.07.2023
Deutsche Post AG,R001114,45,1695000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Internationale Beziehungen; Menschenrechte; Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Gesetzgebung; Gesundheitsversorgung; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Werbung; Ländlicher Raum; Stadtentwicklung; Öffentliches Recht; Öffentlicher Dienst und öffentliche Verwaltung; Sonstiges im Bereich ""Staat und Verwaltung""; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Luft- und Raumfahrt; Schienenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; E-Commerce; Handel und Dienstleistungen; Verbraucherschutz; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""",Unternehmen,23.02.2022,13.09.2023
Deutsche PsychotherapeutenVereinigung e. V.,R001553,1,65000,2022-01-01,2022-12-01,"Arbeitsrecht/Arbeitsbedingungen; Hochschulbildung; Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""",Berufsverband,25.02.2022,23.04.2024
Deutsche Reiterliche Vereinigung e.V. (FN),R002188,5,125000,2022-01-01,2022-12-01,"EU-Gesetzgebung; Kultur; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Öffentliche Finanzen, Steuern und Abgaben; Breitensport; Tourismus; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Artenschutz/Biodiversität; Tierschutz; Sonstiges im Bereich ""Umwelt""","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",28.02.2022,03.08.2023
Deutsche Shell Holding GmbH,R001354,5,535000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Allgemeine Energiepolitik; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Gesetzgebung; Öffentliche Finanzen, Steuern und Abgaben; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Luft- und Raumfahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Industriepolitik; Wissenschaft, Forschung und Technologie",Unternehmen,24.02.2022,29.02.2024
Deutsche Stiftung Kranke Neugeborene,R000125,5,185000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Gesundheit""","Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)",21.01.2022,25.09.2023
Deutsche Stiftung Weltbevölkerung (DSW),R000985,5,275000,2022-01-01,2022-12-01,"Menschenrechte; Entwicklungspolitik; Diversitätspolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Sonstiges im Bereich ""Gesundheit""","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",23.02.2022,04.01.2024
Deutsche Säge- und Holzindustrie Bundesverband e. V.,R000346,1,285000,2022-01-01,2022-12-01,"Erneuerbare Energien; EU-Binnenmarkt; EU- Gesetzgebung; Land- und Forstwirtschaft; Digitalisierung; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Wohnen; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Schienenverkehr; Straßenverkehr; Industriepolitik; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",Wirtschaftsverband oder Gewerbeverband/-verein,08.02.2022,18.04.2024
Deutsche Telekom AG,R002346,45,2655000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Internationale Beziehungen; Menschenrechte; Außenwirtschaft; Berufliche Bildung; Schulische Bildung; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; EU-Binnenmarkt; EU- Gesetzgebung; Diversitätspolitik; Geschlechterpolitik; Sonstiges im Bereich ""Gesundheit""; Bevölkerungsschutz und Katastrophenhilfe; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Verwaltungstransparenz/Open Government; Sonstiges im Bereich ""Staat und Verwaltung""; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Verkehrsinfrastruktur; Industriepolitik; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Unternehmen,28.02.2022,01.01.2024
Deutsche Telekom Stiftung,R003208,1,85000,2022-01-01,2022-12-01,"Hochschulbildung; Schulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Wissenschaft, Forschung und Technologie",Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,09.03.2022,19.04.2024
Deutsche Umwelthilfe e.V.,R001683,35,85000,2022-01-01,2022-12-01,"Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Gesetzgebung; Fischerei/Aquakultur; Land- und Forstwirtschaft; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Verbraucherschutz","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",25.02.2022,12.02.2024
