Name,RegNr,Ersteintrag,LetzteÄnd,Tätigkeit,Interessen,FinanzAufw,Betrag,Geschäftsjahr,VollzeitEquiv,Regelungen,Stellungnahmen,GrundVerweig,Beschäftigte,Auftraggeber
Achim Klein Dipl.-Ing. (Univ),R005138,06.09.2022,07.09.2023,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater","Internationale Beziehungen; Außenwirtschaft; Rechte von Menschen mit Behinderung; Religion/Weltanschauung; Cybersicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Politisches Leben, Parteien; Breitensport; Profisport; Rüstungsangelegenheiten; Verteidigungspolitik; Industriepolitik; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,07/22 bis 06/23,,,,,1 bis 10,
QRC Qualitätsring Coaching und Beratung e.V.,R005137,06.09.2022,12.06.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",Berufliche Bildung; Handel und Dienstleistungen; Kleine und mittlere Unternehmen,,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
VCD Kreisverband Heinsberg-Mönchengladbach-Viersen,R005136,06.09.2022,05.07.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Klimaschutz; Sonstiges im Bereich ""Umwelt""; Verkehrspolitik",,1 bis 10.000 Euro,02/21 bis 01/22,,,,,0,
Idorsia Pharmaceuticals Germany GmbH,R005135,06.09.2022,15.09.2023,Unternehmen,"Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Datenschutz und Informationssicherheit; Digitalisierung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Krankenversicherung; Sonstiges im Bereich ""Soziale Sicherung""; Verwaltungstransparenz/Open Government; Sonstiges im Bereich ""Staat und Verwaltung""; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",,110.001 bis 120.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Agrarservice Lass GmbH,R005134,06.09.2022,02.10.2023,Unternehmen,Erneuerbare Energien; Klimaschutz; Nachhaltigkeit und Ressourcenschutz,,1 bis 10.000 Euro,07/21 bis 06/22,,,,,1 bis 10,
SOLYTIC GmbH,R005133,06.09.2022,09.04.2024,Unternehmen,"Allgemeine Energiepolitik; Erneuerbare Energien; Cybersicherheit; Digitalisierung; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",,0 Euro,01/23 bis 12/23,0.01,,,,,
Virtuelles Krankenhaus NRW gGmbH,R005132,05.09.2022,06.09.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",Gesundheitsförderung; Gesundheitsversorgung,,20.001 bis 30.000 Euro,01/22 bis 12/22,,0,,,11 bis 20,
Familienbetriebe Land und Forst NRW e.V.,R005131,05.09.2022,09.10.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",Erneuerbare Energien; Land- und Forstwirtschaft; Bauwesen und Bauwirtschaft; Ländlicher Raum; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz,,330.001 bis 340.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Europäische Vereinigung der Binnenschiffer e.V. - anerkannter,R005130,05.09.2022,–,Wirtschaftsverband oder Gewerbeverband/-verein,"Arbeitsrecht/Arbeitsbedingungen; Internationale Beziehungen; Außenwirtschaft; Berufliche Bildung; EU-Binnenmarkt; Politisches Leben, Parteien; Öffentlicher Dienst und öffentliche Verwaltung; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Schifffahrt; Kleine und mittlere Unternehmen; Verkehrsinfrastruktur; Verkehrspolitik; Forschung und Technologie",,20.001 bis 30.000 Euro,01/21 bis 12/21,,,,,0,
Malte Biss,R005129,05.09.2022,09.08.2023,Unternehmen,Nachhaltigkeit und Ressourcenschutz,,0 Euro,01/21 bis 01/22,,,,,1 bis 10,
Verband für Elektroschifffahrt und Ladeinfrastruktur e.V.,R005128,05.09.2022,–,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Erneuerbare Energien; Tourismus; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Schifffahrt; Verkehrsinfrastruktur; Verkehrspolitik; Wissenschaft, Forschung und Technologie",,0 Euro,01/21 bis 12/21,,,,,1 bis 10,
Verlagsgruppe Droemer Knaur GmbH & Co. KG,R005127,05.09.2022,15.06.2023,Unternehmen,"Kultur; Digitalisierung; Massenmedien; Meinungs- und Pressefreiheit; Urheberrecht; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""",,10.001 bis 20.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bündnis Junge Ärzte,R005126,04.09.2022,15.09.2022,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)","Gesundheitsförderung; Gesundheitsversorgung; Wissenschaft, Forschung und Technologie","Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",,,,,,,0,
Herborner Weltladen e.V.,R005125,03.09.2022,23.04.2024,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Außenpolitik; Internationale Beziehungen; Menschenrechte; Außenwirtschaft; Entwicklungspolitik; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Handel und Dienstleistungen; Verbraucherschutz; Wettbewerbsrecht; Ehrenamtsförderung",,1 bis 10.000 Euro,01/23 bis 12/23,0.00,,,,,
Nichtraucherschutzverband Deutschland,R005124,03.09.2022,16.04.2024,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Kinder- und Jugendpolitik; Gesundheitsförderung; Sonstiges im Bereich ""Gesundheit""; Nachhaltigkeit und Ressourcenschutz; Verbraucherschutz",,1 bis 10.000 Euro,01/23 bis 12/23,1.00,0,,,,
IDT Biologika GmbH,R005123,02.09.2022,05.01.2024,Unternehmen,"Wissenschaft, Forschung und Technologie",,0 Euro,01/22 bis 12/22,,0,,,0,
Deutsche Gesellschaft für Endokrinologie e.V.,R005122,02.09.2022,19.07.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Berufliche Bildung; Sonstiges im Bereich ""Gesundheit""; Wissenschaft, Forschung und Technologie",,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
enua Pharma GmbH,R005121,02.09.2022,27.09.2023,Unternehmen,"Außenwirtschaft; Sonstiges im Bereich ""Bildung und Erziehung""; Kinder- und Jugendpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Sonstiges im Bereich ""Innere Sicherheit""; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Werbung; Handel und Dienstleistungen; Kleine und mittlere Unternehmen; Verbraucherschutz; Wissenschaft, Forschung und Technologie",,10.001 bis 20.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Enpal B.V.,R005120,02.09.2022,11.03.2024,Unternehmen,Allgemeine Energiepolitik; Erneuerbare Energien,,140.001 bis 150.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Singaporean-German Chamber of Industry and Commerce,R005119,02.09.2022,11.07.2023,Wirtschaftsverband oder Gewerbeverband/-verein,Außenwirtschaft,,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Katholische Frauengemeinschaft Deutschlands (kfd) - Bundesverband,R005118,02.09.2022,04.09.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Geschlechterpolitik; Religion/Weltanschauung; Sonstiges im Bereich ""Soziale Sicherung""; Nachhaltigkeit und Ressourcenschutz",,20.001 bis 30.000 Euro,01/22 bis 12/22,,,,,31 bis 40,
GANG-WAY,R005117,02.09.2022,29.09.2023,Unternehmen,Pflege; Bauwesen und Bauwirtschaft; Wohnen; Handwerk,,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Kennametal Holding GmbH,R005116,02.09.2022,–,Unternehmen,"Automobilwirtschaft; Industriepolitik; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,07/20 bis 06/21,,,,,1 bis 10,
blackned GmbH,R005115,01.09.2022,29.02.2024,Unternehmen,"Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Rüstungsangelegenheiten; Verteidigungspolitik; Sonstiges im Bereich ""Verteidigung""; Wissenschaft, Forschung und Technologie",,60.001 bis 70.000 Euro,01/23 bis 12/23,,,,,1 bis 10,
WHS Foundation GmbH,R005114,01.09.2022,–,"Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule (GL2022)","Auswärtige Kultur- und Bildungspolitik; Internationale Beziehungen; Hochschulbildung; Entwicklungspolitik; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Gesundheitsförderung; Gesundheitsversorgung; Klimaschutz; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/21 bis 12/21,,,,,1 bis 10,
DentaDox MVZ GmbH,R005113,01.09.2022,11.07.2023,Unternehmen,"Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Krankenversicherung",,10.001 bis 20.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Alfred Gertler M.A.,R005112,01.09.2022,24.08.2023,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater","Energienetze; Erneuerbare Energien; Fossile Energien; Entwicklungspolitik; Sonstiges im Bereich ""Europapolitik und Europäische Union""",,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bundesarbeitsgemeinschaft von Selbsthilfeeinrichtungen -,R005111,01.09.2022,24.08.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",Gesundheitsförderung; Gesundheitsversorgung,,0 Euro,01/22 bis 12/22,,,,,1 bis 10,1
Bundesverband Kreativbrauer e.V.,R005110,31.08.2022,02.08.2023,Wirtschaftsverband oder Gewerbeverband/-verein,Kultur; Lebens- und Genussmittelindustrie,,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Adbites GmbH,R005109,31.08.2022,27.09.2023,Unternehmen,"Artenschutz/Biodiversität; Klimaschutz; Tierschutz; Verkehrsinfrastruktur; Wissenschaft, Forschung und Technologie",,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
AG der Begabtenförderwerke,R005108,31.08.2022,12.07.2023,Sonstige Organisation,Hochschulbildung,,10.001 bis 20.000 Euro,01/22 bis 12/22,,,,,11 bis 20,2
Arbeitsgemeinschaft Hessischer Wasserkraftwerke,R005107,31.08.2022,07.12.2023,Berufsverband,Erneuerbare Energien,Angabe verweigert,,,,,,,1 bis 10,
Deutsche Gesellschaft für Herpetologie und Terrarienkunde,R005106,31.08.2022,25.06.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Artenschutz/Biodiversität; Tierschutz; Sonstiges im Bereich ""Umwelt""; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bundesvereinigung LIBERALE VIELFALT e.V.,R005105,31.08.2022,10.02.2024,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Diversitätspolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Integration; Migration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""",Angabe verweigert,,,,,,,0,
Flightright GmbH,R005104,30.08.2022,07.03.2023,Unternehmen,"Parlamentarisches Verfahren; EU-Gesetzgebung; Rechtspolitik; Zivilrecht; Sonstiges im Bereich ""Recht""; Luft- und Raumfahrt; Personenverkehr; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; E-Commerce; Handel und Dienstleistungen; Verbraucherschutz; Wissenschaft, Forschung und Technologie",,10.001 bis 20.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
nextSolution! zweipunktnull GmbH,R005103,30.08.2022,–,Unternehmen,"Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""",,1 bis 10.000 Euro,05/21 bis 12/21,,,,,1 bis 10,
"GGEW, Gruppen- Gas- und Elektrizitätswerk Bergstraße",R005102,30.08.2022,10.07.2023,Unternehmen,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""",,50.001 bis 60.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Berufsverband Saarländischer Heilpraktiker e.V.,R005101,29.08.2022,01.06.2023,Berufsverband,"Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""",,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
Ernährungsrat StadtRegion Stuttgart,R005100,27.08.2022,22.09.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Entwicklungspolitik; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""",,110.001 bis 120.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
KlimaUnion e.V.,R005099,26.08.2022,–,Sonstige Organisation,"Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; EU-Binnenmarkt; EU-Gesetzgebung; Institutionelle Fragen der EU; Fischerei/Aquakultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Güterverkehr; Luft- und Raumfahrt; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Automobilwirtschaft; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Versicherungswesen; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",,0 Euro,05/21 bis 12/21,,,,,1 bis 10,
LOHMANN & Co. AKTIENGESELLSCHAFT,R005098,26.08.2022,10.01.2024,Unternehmen,"Arbeitsrecht/Arbeitsbedingungen; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz",,20.001 bis 30.000 Euro,07/22 bis 06/23,,,,,1 bis 10,
Wirtschaftsjunioren Nordschwarzwald e.V.,R005097,25.08.2022,05.03.2023,Wirtschaftsverband oder Gewerbeverband/-verein,"Arbeitsmarkt; Internationale Beziehungen; Berufliche Bildung; Hochschulbildung; Schulische Bildung; EU-Binnenmarkt; Öffentliche Finanzen, Steuern und Abgaben; Öffentlicher Dienst und öffentliche Verwaltung; Nachhaltigkeit und Ressourcenschutz; Kleine und mittlere Unternehmen",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Verband Deutscher Sportbootschulen e.V.,R005096,25.08.2022,31.07.2023,Berufsverband,"Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Schifffahrt",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Christian Gries,R005095,25.08.2022,–,Privatperson,"Sonstiges im Bereich ""Sport, Freizeit und Tourismus""",,1 bis 10.000 Euro,01/20 bis 12/20,,,,,1 bis 10,
Danpower GmbH,R005094,24.08.2022,28.08.2023,Unternehmen,Erneuerbare Energien,,1 bis 10.000 Euro,01/21 bis 12/21,,,,,1 bis 10,
Zentralverband des Deutschen Baugewerbes e.V.,R005093,24.08.2022,21.11.2023,Wirtschaftsverband oder Gewerbeverband/-verein,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Berufliche Bildung; Hochschulbildung; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; EU-Binnenmarkt; EU-Gesetzgebung; Datenschutz und Informationssicherheit; Digitalisierung; Integration; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Ländlicher Raum; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Öffentliches Recht; Rechtspolitik; Zivilrecht; Rente/Alterssicherung; Unfallversicherung; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Handwerk; Kleine und mittlere Unternehmen; Wettbewerbsrecht",,2.170.001 bis 2.180.000 Euro,01/22 bis 12/22,,,,,21 bis 30,
Stiftung Menschen für Menschen - Karlheinz Böhms Äthiopienhilfe,R005092,24.08.2022,31.07.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Auswärtige Kultur- und Bildungspolitik; Sonstiges im Bereich ""Bildung und Erziehung""; Entwicklungspolitik; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Klimaschutz; Nachhaltigkeit und Ressourcenschutz",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Vitos gemeinnützige GmbH,R005091,24.08.2022,18.04.2023,Unternehmen,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Bildung und Erziehung""; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Klimaschutz; Nachhaltigkeit und Ressourcenschutz",,20.001 bis 30.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Friseure Brauchen Zukunft - 7% Jetzt,R005090,24.08.2022,01.09.2022,Unternehmen,Handel und Dienstleistungen; Handwerk,Angabe verweigert,,,,,,,1 bis 10,
BAUER Resources GmbH,R005089,24.08.2022,29.06.2023,Unternehmen,"Arbeitsrecht/Arbeitsbedingungen; Außenwirtschaft; Allgemeine Energiepolitik; Erneuerbare Energien; Bauwesen und Bauwirtschaft; Öffentliches Recht; Strafrecht; Zivilrecht; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Industriepolitik; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",,20.001 bis 30.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Venture Leap GmbH,R005088,24.08.2022,16.07.2023,Unternehmen,"Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""; Digitalisierung; Internetpolitik; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentlicher Dienst und öffentliche Verwaltung; Sonstiges im Bereich ""Staat und Verwaltung""; Kleine und mittlere Unternehmen",,70.001 bis 80.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
BAUER Maschinen GmbH,R005087,23.08.2022,30.05.2023,Unternehmen,"Arbeitsrecht/Arbeitsbedingungen; Außenwirtschaft; Öffentliche Finanzen, Steuern und Abgaben; Strafrecht; Zivilrecht; Nachhaltigkeit und Ressourcenschutz; Wissenschaft, Forschung und Technologie",,20.001 bis 30.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
TechniBike GmbH,R005086,23.08.2022,04.04.2024,Unternehmen,"Breitensport; Verkehrsinfrastruktur; Verkehrspolitik; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/23 bis 12/23,0.01,,,,,
Passivhaus Institut GmbH,R005085,23.08.2022,15.08.2023,"Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule (GL2022)","Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Bauwesen und Bauwirtschaft; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/22 bis 12/22,,0,,,1 bis 10,
Gerolsteiner Brunnen,R005084,22.08.2022,02.08.2023,Unternehmen,"Sonstiges im Bereich ""Energie""; Gesundheitsförderung; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Öffentliche Finanzen, Steuern und Abgaben; Nachhaltigkeit und Ressourcenschutz; Handel und Dienstleistungen; Sonstiges im Bereich ""Wirtschaft""",,80.001 bis 90.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
mobifair - Verein fairer Wettbewerb in der Mobilitätswirtschaft e.V.,R005083,22.08.2022,11.07.2023,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)","Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Parlamentarisches Verfahren; EU-Binnenmarkt; EU-Gesetzgebung; Politisches Leben, Parteien; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Personenverkehr; Schienenverkehr; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Wettbewerbsrecht",,20.001 bis 30.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Astrid Raasch,R005082,22.08.2022,–,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Wissenschaft, Forschung und Technologie",,0 Euro,01/21 bis 12/21,,,,,1 bis 10,
Regionalbauernverband Erzgebirge e.V.,R005081,22.08.2022,21.08.2023,Berufsverband,Land- und Forstwirtschaft,,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
Deutscher Lottoverband e.V.,R005080,22.08.2022,07.10.2023,Berufsverband,"Datenschutz und Informationssicherheit; Werbung; Sonstiges im Bereich ""Recht""; Verwaltungstransparenz/Open Government; Handel und Dienstleistungen; Wettbewerbsrecht",,1 bis 10.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
CIOPORA Deutschland e. V.,R005079,22.08.2022,19.07.2023,Berufsverband,"Land- und Forstwirtschaft; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Wissenschaft, Forschung und Technologie",,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
EiiF - European Industrial Insulation Foundation,R005078,22.08.2022,08.06.2023,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)","Berufliche Bildung; Sonstiges im Bereich ""Energie""; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Klimaschutz; Industriepolitik; Wissenschaft, Forschung und Technologie",,430.001 bis 440.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
Klima.Gerecht,R005077,19.08.2022,07.03.2024,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Wissenschaft, Forschung und Technologie",,0 Euro,01/23 bis 12/23,40.00,,,,,
Bundesarbeitsgemeinschaft Katholische Jugendsozialarbeit (BAG KJS),R005076,19.08.2022,13.12.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Sonstiges im Bereich ""Arbeit und Beschäftigung""; Berufliche Bildung; Schulische Bildung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Diversitätspolitik; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Integration; Migration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""",,40.001 bis 50.000 Euro,01/22 bis 12/22,,0,,,21 bis 30,
Deutsche Atemwegsliga e.V.,R005075,19.08.2022,13.03.2024,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)","Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""",,0 Euro,01/23 bis 12/23,,,,,1 bis 10,
Katholischer Pflegeverband e.V.,R005074,19.08.2022,30.06.2023,Berufsverband,Pflege,,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
Bürgerinitiative Gemeinwohl-Lobby,R005073,18.08.2022,08.06.2023,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk) (GL2022)","Alle gesellschaftsrelevanten Bereiche, Schwerpunkte sind: Grundgesetz, Verfassung, Demokratie, Gewaltenteilung, Volksabstimmungen, neues Geldsystem...",,0 Euro,01/22 bis 12/22,,,,,1 bis 10,
Deutsche Gesellschaft für Verhaltenstherapie (DGVT) e. V.,R005072,18.08.2022,12.07.2023,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",Berufliche Bildung; Gesundheitsförderung; Gesundheitsversorgung,Angabe verweigert,,,,,,Ist sehr anlassbezogen und schwankt stark.,11 bis 20,
TechniSat Digital GmbH,R005071,18.08.2022,04.04.2024,Unternehmen,"Sonstiges im Bereich ""Gesundheit""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Urheberrecht; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; E- Commerce; Handel und Dienstleistungen; Kleine und mittlere Unternehmen",,1 bis 10.000 Euro,01/23 bis 12/23,0.01,,,,,
C³ - Carbon Concrete Composite e. V.,R005070,18.08.2022,14.06.2023,Wirtschaftsverband oder Gewerbeverband/-verein,"Berufliche Bildung; Hochschulbildung; Bauwesen und Bauwirtschaft; Kleine und mittlere Unternehmen; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/22 bis 12/22,,0,,,1 bis 10,
Verband der Redenschreiber deutscher Sprache e.V. (VRdS),R005069,17.08.2022,14.08.2023,Berufsverband,Verbesserung der Redekultur,Angabe verweigert,,,,,,Keine Ausgaben,1 bis 10,
Reflex Aerospace,R005068,17.08.2022,18.04.2023,Unternehmen,"Parlamentarisches Verfahren; Sonstiges im Bereich ""Bundestag""; Wissenschaft, Forschung und Technologie","Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",,,,,,,1 bis 10,
Metallgewerbeverband Nord,R005067,17.08.2022,16.08.2023,Berufsverband,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Berufliche Bildung; Arbeitslosenversicherung; Krankenversicherung; Pflegeversicherung; Rente/Alterssicherung; Unfallversicherung",,10.001 bis 20.000 Euro,01/22 bis 12/22,,,,,1 bis 10,
